MSN,YYYYMM,Description,Unit,Category,Pred
CLEIEUS,198207,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,109.995
CLEIEUS,198208,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,109.179
CLEIEUS,198209,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,96.39
CLEIEUS,198210,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,92.24
CLEIEUS,198211,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,95.165
CLEIEUS,198212,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,101.367
CLEIEUS,198213,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,1181.956
CLEIEUS,198301,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,105.965
CLEIEUS,198302,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,90.912
CLEIEUS,198303,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,93.568
CLEIEUS,198304,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,86.575
CLEIEUS,198305,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,90.75
CLEIEUS,198306,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,99.98
CLEIEUS,198307,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,119.945
CLEIEUS,198308,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,126.652
CLEIEUS,198309,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,107.675
CLEIEUS,198310,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,100.677
CLEIEUS,198311,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,101.663
CLEIEUS,198312,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,117.417
CLEIEUS,198313,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,1241.778
CLEIEUS,198401,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,119.436
CLEIEUS,198402,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,103.635
CLEIEUS,198403,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,108.149
CLEIEUS,198404,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,94.329
CLEIEUS,198405,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,98.181
CLEIEUS,198406,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,112.983
